Year,State,Unemployment
1996,VA,149150
2000,VA,82171
2004,VA,155746
2008,VA,176846
2012,VA,250711
2016,VA,169912
2020,VA,109989
1976,VT,18026
1980,VT,14793
1984,VT,13273
1988,VT,9021
1992,VT,19430
1996,VT,13951
2000,VT,9414
2004,VT,12780
2008,VT,16116
2012,VT,17022
2016,VT,10834
2020,VT,8464
1976,WA,142123
1980,WA,156056
1984,WA,193278
1988,WA,146584
1992,WA,190412
1996,WA,170837
2000,WA,157764
2004,WA,200680
2008,WA,183759
2012,WA,265508
2016,WA,190045
2020,WA,157051
1976,WI,117895
1980,WI,172888
1984,WI,174663
1988,WI,111705
1992,WI,137370
1996,WI,105066
2000,WI,101225
2004,WI,151011
2008,WI,154545
2012,WI,212759
2016,WI,121821
2020,WI,102166
1976,WV,51036
1980,WV,78055
1984,WV,106949
1988,WV,73685
1992,WV,88392
1996,WV,60448
2000,WV,44619
2004,WV,45459
2008,WV,38244
2012,WV,58541
2016,WV,47900
2020,WV,40305
1976,WY,6962
1980,WY,9022
1984,WY,16068
1988,WY,15410
1992,WY,12946
1996,WY,12742
2000,WY,9973
2004,WY,10523
2008,WY,8726
2012,WY,16660
2016,WY,16014
2020,WY,13280
