Year,State,TotalVotes,DemocratVotes,DemocratElectoralVotes,RepublicanVotes,RepublicanElectoralVotes
1976,Florida,3150631,1636000,17,1469531,0
1980,Florida,3686930,2046951,17,1419475,0
1984,Florida,4180051,2730350,21,1448816,0
1988,Florida,4302313,2618885,21,1656701,0
1992,Florida,5314392,2072698,0,2173310,25
1996,Florida,5303794,2546870,25,2244536,0
2000,Florida,5963110,2912790,25,2912253,0
2004,Florida,7609810,3964522,27,3583544,0
2008,Florida,8390744,4282074,27,4045624,0
2012,Florida,8474179,4237756,29,4163447,0
2016,Florida,9420039,4504975,0,4617886,29
2020,Florida,11067456,5297045,0,5668731,29
1976,Georgia,1467458,979409,12,483743,0
1980,Georgia,1596695,654168,0,890733,12
1984,Georgia,1776120,1068722,12,706628,0
1988,Georgia,1809672,1081331,12,714792,0
1992,Georgia,2321125,1008966,13,995252,0
1996,Georgia,2299071,1053849,0,1080843,13
2000,Georgia,2596645,1419720,13,1116230,0
2004,Georgia,3301875,1914254,15,1366149,0
2008,Georgia,3924440,1844137,0,2048744,15
2012,Georgia,3900050,1773827,0,2078688,16
2016,Georgia,4092373,1877963,0,2089104,16
2020,Georgia,4997716,2473633,16,2461854,0
1976,Hawaii,291301,147375,4,140003,0
1980,Hawaii,303287,130112,0,135879,4
1984,Hawaii,335846,185050,4,147154,0
1988,Hawaii,354461,158625,0,192364,4
1992,Hawaii,372842,179310,4,136822,0
1996,Hawaii,360120,205012,4,113943,0
2000,Hawaii,367951,137845,0,205286,4
2004,Hawaii,429013,194191,0,231708,4
2008,Hawaii,453568,325871,4,120566,0
2012,Hawaii,434697,306658,4,121015,0
2016,Hawaii,428937,266891,4,128847,0
2020,Hawaii,574469,366130,4,196864,0
1976,Idaho,344071,126549,0,204151,4
1980,Idaho,437431,290699,4,110192,0
1984,Idaho,411144,297523,4,108510,0
1988,Idaho,408968,253881,4,147272,0
1992,Idaho,482142,137013,0,202645,4
1996,Idaho,491719,165443,0,256595,4
2000,Idaho,501621,336937,4,138637,0
2004,Idaho,598447,409235,4,181098,0
2008,Idaho,655032,236440,0,403012,4
2012,Idaho,652274,212787,0,420911,4
2016,Idaho,690255,189765,0,409055,4
2020,Idaho,868014,287021,0,554119,4
1976,Illinois,4718914,2271295,0,2364269,26
1980,Illinois,4749721,2358049,26,1981413,0
1984,Illinois,4819088,2707103,24,2086499,0
1988,Illinois,4559120,2310939,24,2215940,0
1992,Illinois,5050157,2453350,22,1734096,0
1996,Illinois,4311391,2341744,22,1587021,0
2000,Illinois,4742123,2019421,0,2589026,22
2004,Illinois,5274322,2345946,0,2891550,21
2008,Illinois,5523051,3419673,21,2031527,0
2012,Illinois,5242014,3019512,20,2135216,0
2016,Illinois,5536424,3090729,20,2146015,0
2020,Illinois,6033744,3471915,20,2446891,0
1976,Indiana,2220362,1014714,0,1183958,13
1980,Indiana,2242033,1255656,13,844197,0
1984,Indiana,2233069,1377230,12,841481,0
1988,Indiana,2168621,1297763,12,860643,0
1992,Indiana,2305871,848420,0,989375,12
1996,Indiana,2135431,887424,0,1006693,12
2000,Indiana,2199302,1245836,12,901980,0
2004,Indiana,2468002,1479438,11,969011,0
2008,Indiana,2751054,1374039,11,1345648,0
2012,Indiana,2624534,1152887,0,1420543,11
2016,Indiana,2734958,1033126,0,1557286,11
2020,Indiana,3033121,1242416,0,1729519,11
1976,Iowa,1279306,619931,0,632863,8
1980,Iowa,1317661,676026,8,508672,0
1984,Iowa,1319805,703088,8,605620,0
1988,Iowa,1225614,545355,0,670557,8
1992,Iowa,1354607,586353,7,504891,0
1996,Iowa,1234075,620258,7,492644,0
2000,Iowa,1315563,634373,0,638517,7
2004,Iowa,1506908,751957,7,741898,0
2008,Iowa,1543662,828940,7,682379,0
2012,Iowa,1582180,822544,6,730617,0
2016,Iowa,1566031,653669,0,800983,6
2020,Iowa,1690871,759061,0,897672,6
1976,Kansas,957845,430421,0,502752,7
1980,Kansas,979795,566812,7,326150,0
1984,Kansas,1021991,677296,7,333149,0
1988,Kansas,993044,554049,7,422636,0
1992,Kansas,1157335,390434,0,449951,6
1996,Kansas,1074300,387659,0,583245,6
2000,Kansas,1072218,622332,6,399276,0
2004,Kansas,1187756,736456,6,434993,0
2008,Kansas,1235872,514765,0,699655,6
2012,Kansas,1159971,440726,0,692634,6
2016,Kansas,1184402,427005,0,671018,6
2020,Kansas,1372303,570323,0,771406,6
1976,Kentucky,1167142,615717,9,531852,0
1980,Kentucky,1294627,635274,9,616417,0
1984,Kentucky,1369345,821702,9,539539,0
1988,Kentucky,1322517,734281,9,580368,0
1992,Kentucky,1492900,665104,8,617178,0
1996,Kentucky,1388708,636614,8,623283,0
2000,Kentucky,1544187,872492,8,638898,0
2004,Kentucky,1795882,1069439,8,712733,0
2008,Kentucky,1826508,751985,0,1048462,8
2012,Kentucky,1797212,679370,0,1087190,8
2016,Kentucky,1924149,628854,0,1202971,8
2020,Kentucky,2136768,772474,0,1326646,8
1976,Louisiana,1278439,661365,10,587446,0
1980,Louisiana,1548591,792853,10,708453,0
1984,Louisiana,1706822,1037299,10,651586,0
1988,Louisiana,1628202,883702,10,717460,0
1992,Louisiana,1790017,815971,9,733386,0
1996,Louisiana,1783959,927837,9,712586,0
2000,Louisiana,1765656,927871,9,792344,0
2004,Louisiana,1943106,1102169,9,820299,0
2008,Louisiana,1960761,782989,0,1148275,9
2012,Louisiana,1994065,809141,0,1152262,8
2016,Louisiana,2029032,780154,0,1178638,8
2020,Louisiana,2148062,856034,0,1255776,8
1976,Maine,483216,232279,0,236320,4
1980,Maine,523011,238522,4,220974,0
1984,Maine,553144,336500,4,214515,0
1988,Maine,555035,307131,4,243569,0
1992,Maine,679499,263420,4,206504,0
1996,Maine,605897,312788,4,186378,0
2000,Maine,651817,286616,0,319951,4
2004,Maine,740752,330201,0,396842,4
2008,Maine,731163,421923,4,295273,0
2012,Maine,713180,401306,4,292276,0
2016,Maine,747927,357735,3,335593,1
2020,Maine,819461,435072,2,360737,0
1976,Maryland,1439897,759612,10,672661,0
1980,Maryland,1540496,680606,0,726161,10
1984,Maryland,1675873,879918,10,787935,0
1988,Maryland,1714358,876167,10,826304,0
1992,Maryland,1985046,988571,10,707094,0
1996,Maryland,1780870,966207,10,681530,0
2000,Maryland,2020480,813797,0,1140782,10
2004,Maryland,2386678,1024703,0,1334493,10
2008,Maryland,2631596,1629467,10,959862,0
2012,Maryland,2707327,1677844,10,971869,0
2016,Maryland,2781446,1677928,10,943169,0
2020,Maryland,3037030,1985023,10,976414,0
1976,Massachusetts,2547558,1429475,14,1030276,0
1980,Massachusetts,2522890,1057631,14,1053802,0
1984,Massachusetts,2559453,1310936,13,1239606,0
1988,Massachusetts,2632805,1194635,0,1401415,13
1992,Massachusetts,2773700,1318662,12,805049,0
1996,Massachusetts,2556786,1571763,12,718107,0
2000,Massachusetts,2702984,878502,0,1616487,12
2004,Massachusetts,2912388,1071109,0,1803800,12
2008,Massachusetts,3080985,1904097,12,1108854,0
2012,Massachusetts,3167767,1921290,11,1188314,0
2016,Massachusetts,3325046,1995196,11,1090893,0
2020,Massachusetts,3631403,2382202,11,1167202,0
1976,Michigan,3653749,1696714,0,1893742,21
1980,Michigan,3909725,1915225,21,1661532,0
1984,Michigan,3801658,2251571,20,1529638,0
1988,Michigan,3669163,1965486,20,1675783,0
1992,Michigan,4274673,1871182,18,1554940,0
1996,Michigan,3848844,1989653,18,1481212,0
2000,Michigan,4232711,1953139,0,2170418,18
2004,Michigan,4839252,2313746,0,2479183,17
2008,Michigan,5001766,2872579,17,2048639,0
2012,Michigan,4730961,2564569,16,2115256,0
2016,Michigan,4799284,2268839,0,2279543,16
2020,Michigan,5539301,2804040,16,2649852,0
1976,Minnesota,1949931,1070440,10,819395,0
1980,Minnesota,2051980,873268,0,954174,10
1984,Minnesota,2084449,1032603,0,1036364,10
1988,Minnesota,2096790,962337,0,1109471,10
1992,Minnesota,2347948,1020997,10,747841,0
1996,Minnesota,2192640,1120438,10,766476,0
2000,Minnesota,2438685,1109659,0,1168266,10
2004,Minnesota,2828387,1346695,0,1445014,9
2008,Minnesota,2910369,1573354,10,1275409,0
2012,Minnesota,2936561,1546167,10,1320225,0
2016,Minnesota,2944813,1367716,10,1322951,0
2020,Minnesota,3277171,1717077,10,1484065,0
1976,Mississippi,769361,381309,7,366846,0
1980,Mississippi,892620,441089,7,429281,0
1984,Mississippi,941104,582377,7,352192,0
1988,Mississippi,931527,557890,7,363921,0
1992,Mississippi,981793,400258,0,487793,7
1996,Mississippi,893857,394022,0,439838,7
2000,Mississippi,994184,572844,7,404614,0
2004,Mississippi,1152145,684981,6,458094,0
2008,Mississippi,1289865,554662,0,724597,6
2012,Mississippi,1285584,562949,0,710746,6
2016,Mississippi,1209357,485131,0,700714,6
2020,Mississippi,1313759,539398,0,756764,6
1976,Missouri,1953600,998387,12,927443,0
1980,Missouri,2099824,1074181,12,931182,0
1984,Missouri,2122783,1274188,11,848583,0
1988,Missouri,2093713,1084953,11,1001619,0
1992,Missouri,2391565,1053873,11,811159,0
1996,Missouri,2158065,1025935,11,890016,0
2000,Missouri,2359892,1189924,11,1111138,0
2004,Missouri,2731364,1455713,11,1259171,0
2008,Missouri,2925205,1441911,0,1445814,11
2012,Missouri,2757323,1223796,0,1482440,10
2016,Missouri,2808605,1071068,0,1594511,10
2020,Missouri,3025962,1253014,0,1718736,10
1976,Montana,328734,149259,0,173703,4
1980,Montana,363952,206814,4,118032,0
1984,Montana,384377,232450,4,146742,0
1988,Montana,365674,190412,4,168936,0
1992,Montana,410611,154507,3,144207,0
1996,Montana,407261,167922,0,179652,3
2000,Montana,410997,240178,3,137126,0
2004,Montana,450445,266063,3,173710,0
2008,Montana,490109,231667,0,242763,3
2012,Montana,484048,201839,0,267928,3
2016,Montana,494526,177709,0,279240,3
2020,Montana,603640,244786,0,343602,3
1976,Nebraska,607668,233692,0,359705,5
1980,Nebraska,640854,419937,5,166851,0
1984,Nebraska,652090,460054,5,187866,0
1988,Nebraska,661465,397956,5,259235,0
1992,Nebraska,737546,216864,0,343678,5
1996,Nebraska,677415,236761,0,363467,5
2000,Nebraska,697019,433862,5,231780,0
2004,Nebraska,778186,512814,5,254328,0
2008,Nebraska,801281,333319,1,452979,4
2012,Nebraska,794379,302081,0,475064,5
2016,Nebraska,844227,284494,0,495961,2
2020,Nebraska,951712,374583,0,556846,2
1976,Nevada,201876,92479,0,101273,3
1980,Nevada,247885,155017,3,66666,0
1984,Nevada,286667,188770,4,91655,0
1988,Nevada,350067,206040,4,132738,0
1992,Nevada,506318,189148,4,175828,0
1996,Nevada,464279,203974,4,199244,0
2000,Nevada,608970,301575,4,279978,0
2004,Nevada,829587,418690,5,397190,0
2008,Nevada,967848,533736,5,412827,0
2012,Nevada,1014918,531373,6,463567,0
2016,Nevada,1125385,539260,6,512058,0
2020,Nevada,1405376,703486,6,669890,0
1976,New Hampshire,339618,147635,0,185935,4
1980,New Hampshire,383990,221705,4,108864,0
1984,New Hampshire,389066,267051,4,120395,0
1988,New Hampshire,451074,281537,4,163696,0
1992,New Hampshire,537943,209040,4,202484,0
1996,New Hampshire,499175,246214,4,196532,0
2000,New Hampshire,569081,273559,4,266348,0
2004,New Hampshire,677738,331237,0,340511,4
2008,New Hampshire,707611,384826,4,316534,0
2012,New Hampshire,710972,369561,4,329918,0
2016,New Hampshire,744296,348526,4,345790,0
2020,New Hampshire,806205,424937,4,365660,0
1976,New Jersey,3014472,1444653,0,1509688,17
1980,New Jersey,2975684,1546557,17,1147364,0
1984,New Jersey,3217862,1933630,16,1261323,0
1988,New Jersey,3099553,1743192,16,1320352,0
1992,New Jersey,3343594,1436206,15,1356865,0
1996,New Jersey,3075807,1652329,15,1103078,0
2000,New Jersey,3187226,1284173,0,1788850,15
2004,New Jersey,3611691,1670003,0,1911430,15
2008,New Jersey,3868237,2215422,15,1613207,0
2012,New Jersey,3638499,2122786,14,1478088,0
2016,New Jersey,3874046,2148278,14,1601933,0
2020,New Jersey,4549353,2608335,14,1883274,0
1976,New Mexico,418409,201148,0,211419,4
1980,New Mexico,456971,250779,4,167826,0
1984,New Mexico,514370,307101,5,201769,0
1988,New Mexico,521287,270341,5,244497,0
1992,New Mexico,569986,261617,5,212824,0
1996,New Mexico,556074,273495,5,232751,0
2000,New Mexico,598605,286417,0,286783,5
2004,New Mexico,756304,376930,5,370942,0
2008,New Mexico,830158,472422,5,346832,0
2012,New Mexico,783758,415335,5,335788,0
2016,New Mexico,798318,385234,5,319666,0
2020,New Mexico,923965,501614,5,401894,0
1976,New York,6534170,3389558,41,3100791,0
1980,New York,6201959,2893831,41,2728372,0
1984,New York,6806810,3664763,36,3119609,0
1988,New York,6485683,3081871,0,3347882,36
1992,New York,6926925,3444450,33,2346649,0
1996,New York,6316129,3756177,33,1933492,0
2000,New York,6821999,2403374,0,4107697,33
2004,New York,7391036,2962567,0,4314280,31
2008,New York,7591233,4769700,31,2742298,0
2012,New York,7061925,4471871,29,2485432,0
2016,New York,7622328,4491191,29,2790073,0
2020,New York,8594826,5230985,29,3244798,0
1976,North Carolina,1678914,927365,13,741960,0
1980,North Carolina,1855833,915018,13,875635,0
1984,North Carolina,2175361,1346481,13,824287,0
1988,North Carolina,2134370,1237258,13,890167,0
1992,North Carolina,2611850,1114042,0,1134661,14
1996,North Carolina,2515807,1107849,0,1225938,14
2000,North Carolina,2911262,1631163,14,1257692,0
2004,North Carolina,3501007,1961166,15,1525849,0
2008,North Carolina,4310789,2142651,15,2128474,0
2012,North Carolina,4505372,2178391,0,2270395,15
2016,North Carolina,4741558,2189313,0,2362628,15
2020,North Carolina,5524804,2684292,0,2758775,15
1976,North Dakota,297188,136078,0,153470,3
1980,North Dakota,301545,193695,3,79189,0
1984,North Dakota,308971,200336,3,104429,0
1988,North Dakota,297261,166559,3,127739,0
1992,North Dakota,308133,99168,0,136244,3
1996,North Dakota,266411,106905,0,125050,3
2000,North Dakota,288256,174852,3,95284,0
2004,North Dakota,312833,196651,3,111052,0
2008,North Dakota,316621,141278,0,168601,3
