Year,State,Income
2016,RI,50320
2020,RI,60825
1976,SC,5472
1980,SC,7965
1984,SC,11059
1988,SC,14137
1992,SC,17316
1996,SC,20755
2000,SC,25133
2004,SC,27986
2008,SC,33234
2012,SC,35852
2016,SC,40744
2020,SC,48021
1976,SD,5726
1980,SD,8269
1984,SD,11864
1988,SD,13962
1992,SD,18156
1996,SD,22157
2000,SD,26825
2004,SD,32025
2008,SD,41168
2012,SD,45384
2016,SD,49018
2020,SD,59281
1976,TN,5664
1980,TN,8277
1984,TN,11411
1988,TN,14857
1992,TN,18625
1996,TN,22301
2000,TN,27066
2004,TN,30472
2008,TN,35059
2012,TN,39418
2016,TN,43637
2020,TN,51046
1976,TX,6528
1980,TX,9983
1984,TX,13546
1988,TX,15494
1992,TX,18956
1996,TX,22397
2000,TX,28383
2004,TX,31195
2008,TX,39946
2012,TX,44193
2016,TX,46445
2020,TX,55129
1976,UT,5866
1980,UT,8366
1984,UT,10984
1988,UT,13218
1992,UT,16401
1996,UT,20183
2000,UT,24260
2004,UT,27018
2008,UT,33941
2012,UT,36085
2016,UT,42008
2020,UT,52204
1976,VA,6969
1980,VA,10567
1984,VA,14642
1988,VA,18870
1992,VA,22398
1996,VA,25973
2000,VA,32715
2004,VA,38139
2008,VA,45514
2012,VA,49366
2016,VA,53439
2020,VA,61958
1976,VT,5928
1980,VT,8790
1984,VT,12335
1988,VT,16328
1992,VT,19627
1996,VT,22883
2000,VT,29014
2004,VT,34087
2008,VT,41022
2012,VT,45588
2016,VT,50572
2020,VT,59187
1976,WA,7424
1980,WA,11130
1984,WA,14373
1988,WA,17613
1992,WA,22237
1996,WA,25898
2000,WA,32723
2004,WA,36378
2008,WA,44241
2012,WA,47357
2016,WA,55038
2020,WA,67126
1976,WI,6676
1980,WI,10034
1984,WI,13285
1988,WI,16269
1992,WI,20179
1996,WI,24129
2000,WI,29556
2004,WI,33424
2008,WI,39055
2012,WI,43043
2016,WI,47509
2020,WI,55593
1976,WV,5455
1980,WV,8011
1984,WV,10344
1988,WV,12697
1992,WV,16277
1996,WV,18767
2000,WV,22317
2004,WV,25687
2008,WV,31607
2012,WV,35478
2016,WV,37453
2020,WV,44994
1976,WY,7309
1980,WY,11612
1984,WY,13581
1988,WY,15056
1992,WY,19583
1996,WY,22693
2000,WY,29607
2004,WY,36065
2008,WY,49746
2012,WY,54104
2016,WY,54522
2020,WY,61855
